Type Name,Base Type,Value Name,Value,Comment,,,,,,,,,,,,,,
file,enum,,,,,,,,,,,,,,,,,
,,device,1,"Read only, single file. Must be in root directory.",,,,,,,,,,,,,,
,,settings,2,"Read/write, single file. Directory=Settings",,,,,,,,,,,,,,
,,sport,3,"Read/write, multiple files, file number = sport type. Directory=Sports",,,,,,,,,,,,,,
,,activity,4,"Read/erase, multiple files. Directory=Activities",,,,,,,,,,,,,,
,,workout,5,"Read/write/erase, multiple files. Directory=Workouts",,,,,,,,,,,,,,
,,course,6,"Read/write/erase, multiple files. Directory=Courses",,,,,,,,,,,,,,
,,schedules,7,"Read/write, single file. Directory=Schedules",,,,,,,,,,,,,,
,,weight,9,"Read only, single file. Circular buffer. All message definitions at start of file. Directory=Weight",,,,,,,,,,,,,,
,,totals,10,"Read only, single file. Directory=Totals",,,,,,,,,,,,,,
,,goals,11,"Read/write, single file. Directory=Goals",,,,,,,,,,,,,,
,,blood_pressure,14,Read only. Directory=Blood Pressure,,,,,,,,,,,,,,
,,monitoring_a,15,Read only. Directory=Monitoring. File number=sub type.,,,,,,,,,,,,,,
,,activity_summary,20,"Read/erase, multiple files. Directory=Activities",,,,,,,,,,,,,,
,,monitoring_daily,28,,,,,,,,,,,,,,,
,,monitoring_b,32,Read only. Directory=Monitoring. File number=identifier,,,,,,,,,,,,,,
,,segment,34,Read/write/erase. Multiple Files.  Directory=Segments,,,,,,,,,,,,,,
,,segment_list,35,Read/write/erase. Single File.  Directory=Segments,,,,,,,,,,,,,,
,,exd_configuration,40,Read/write/erase. Single File. Directory=Settings,,,,,,,,,,,,,,
,,mfg_range_min,0xF7,0xF7 - 0xFE reserved for manufacturer specific file types,,,,,,,,,,,,,,
,,mfg_range_max,0xFE,0xF7 - 0xFE reserved for manufacturer specific file types,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
mesg_num,uint16,,,,,,,,,,,,,,,,,
,,file_id,0,,,,,,,,,,,,,,,
,,capabilities,1,,,,,,,,,,,,,,,
,,device_settings,2,,,,,,,,,,,,,,,
,,user_profile,3,,,,,,,,,,,,,,,
,,hrm_profile,4,,,,,,,,,,,,,,,
,,sdm_profile,5,,,,,,,,,,,,,,,
,,bike_profile,6,,,,,,,,,,,,,,,
,,zones_target,7,,,,,,,,,,,,,,,
,,hr_zone,8,,,,,,,,,,,,,,,
,,power_zone,9,,,,,,,,,,,,,,,
,,met_zone,10,,,,,,,,,,,,,,,
,,sport,12,,,,,,,,,,,,,,,
,,goal,15,,,,,,,,,,,,,,,
,,session,18,,,,,,,,,,,,,,,
,,lap,19,,,,,,,,,,,,,,,
,,record,20,,,,,,,,,,,,,,,
,,event,21,,,,,,,,,,,,,,,
,,device_info,23,,,,,,,,,,,,,,,
,,workout,26,,,,,,,,,,,,,,,
,,workout_step,27,,,,,,,,,,,,,,,
,,schedule,28,,,,,,,,,,,,,,,
,,weight_scale,30,,,,,,,,,,,,,,,
,,course,31,,,,,,,,,,,,,,,
,,course_point,32,,,,,,,,,,,,,,,
,,totals,33,,,,,,,,,,,,,,,
,,activity,34,,,,,,,,,,,,,,,
,,software,35,,,,,,,,,,,,,,,
,,file_capabilities,37,,,,,,,,,,,,,,,
,,mesg_capabilities,38,,,,,,,,,,,,,,,
,,field_capabilities,39,,,,,,,,,,,,,,,
,,file_creator,49,,,,,,,,,,,,,,,
,,blood_pressure,51,,,,,,,,,,,,,,,
,,speed_zone,53,,,,,,,,,,,,,,,
,,monitoring,55,,,,,,,,,,,,,,,
,,training_file,72,,,,,,,,,,,,,,,
,,hrv,78,,,,,,,,,,,,,,,
,,ant_rx,80,,,,,,,,,,,,,,,
,,ant_tx,81,,,,,,,,,,,,,,,
,,ant_channel_id,82,,,,,,,,,,,,,,,
,,length,101,,,,,,,,,,,,,,,
,,monitoring_info,103,,,,,,,,,,,,,,,
,,pad,105,,,,,,,,,,,,,,,
,,slave_device,106,,,,,,,,,,,,,,,
,,connectivity,127,,,,,,,,,,,,,,,
,,weather_conditions,128,,,,,,,,,,,,,,,
,,weather_alert,129,,,,,,,,,,,,,,,
,,cadence_zone,131,,,,,,,,,,,,,,,
,,hr,132,,,,,,,,,,,,,,,
,,segment_lap,142,,,,,,,,,,,,,,,
,,memo_glob,145,,,,,,,,,,,,,,,
,,segment_id,148,,,,,,,,,,,,,,,
,,segment_leaderboard_entry,149,,,,,,,,,,,,,,,
,,segment_point,150,,,,,,,,,,,,,,,
,,segment_file,151,,,,,,,,,,,,,,,
,,gps_metadata,160,,,,,,,,,,,,,,,
,,camera_event,161,,,,,,,,,,,,,,,
,,timestamp_correlation,162,,,,,,,,,,,,,,,
,,gyroscope_data,164,,,,,,,,,,,,,,,
,,accelerometer_data,165,,,,,,,,,,,,,,,
,,three_d_sensor_calibration,167,,,,,,,,,,,,,,,
,,video_frame,169,,,,,,,,,,,,,,,
,,obdii_data,174,,,,,,,,,,,,,,,
,,nmea_sentence,177,,,,,,,,,,,,,,,
